IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
DomainName,heygen.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,heygpt.chat,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,hippocraticai.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,hitalk.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,huggingface.co/spaces/tiiuae/falcon-180b-demo,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,humanpal.io,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,hypotenuse.ai,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,ichatwithgpt.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,ideasai.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,inkforall.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
DomainName,inputai.com,,Block,Informational,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,Unsanctioned: Ungoverned AI,,,,FALSE
